City_ID,city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mount Gambier,-37.8333,140.7667,60.71,94,100,5.75,AU,2022-04-15 21:31:19
1,Jamestown,42.097,-79.2353,63.52,25,75,16.11,US,2022-04-15 21:30:25
2,Bluff,-46.6,168.3333,54.81,63,37,35.75,NZ,2022-04-15 21:31:19
3,Serra Talhada,-7.9919,-38.2983,82.53,50,76,6.4,BR,2022-04-15 21:31:20
4,Mitsamiouli,-11.3847,43.2844,82.04,79,65,9.57,KM,2022-04-15 21:31:20
5,Saint George,37.1041,-113.5841,76.42,15,0,9.22,US,2022-04-15 21:31:21
6,Hobart,-42.8794,147.3294,52.05,78,75,1.14,AU,2022-04-15 21:31:21
7,Vaini,-21.2,-175.2,82.56,74,20,8.05,TO,2022-04-15 21:31:21
8,Kapaa,22.0752,-159.319,80.58,71,75,17.27,US,2022-04-15 21:31:22
9,Bredasdorp,-34.5322,20.0403,58.01,62,96,11.56,ZA,2022-04-15 21:31:22
10,Silver City,32.7701,-108.2803,76.96,9,0,17.27,US,2022-04-15 21:31:22
11,Aklavik,68.2191,-135.0107,5.9,77,96,5.46,CA,2022-04-15 21:31:23
12,Port Alfred,-33.5906,26.891,60.51,68,96,7.94,ZA,2022-04-15 21:31:23
13,Mataura,-46.1927,168.8643,54.48,62,79,14.38,NZ,2022-04-15 21:31:23
14,Vila Velha,-20.3297,-40.2925,76.95,73,100,14.97,BR,2022-04-15 21:31:24
15,Tarakan,3.3,117.6333,78.3,94,40,2.3,ID,2022-04-15 21:31:24
16,Atuona,-9.8,-139.0333,78.87,78,17,15.61,PF,2022-04-15 21:31:25
17,Karratha,-20.7377,116.8463,83.14,69,66,3.8,AU,2022-04-15 21:31:25
18,Yellowknife,62.456,-114.3525,22.28,45,75,4.61,CA,2022-04-15 21:30:25
19,Hami,42.8,93.45,43.75,39,69,10.27,CN,2022-04-15 21:31:25
20,Tautira,-17.7333,-149.15,80.67,74,15,15.21,PF,2022-04-15 21:28:04
21,Zlobin,45.2924,14.6541,52.9,60,0,3.44,HR,2022-04-15 21:31:26
22,Pavlodar,52.3,76.95,46.2,42,0,11.18,KZ,2022-04-15 21:31:26
